,Original Circuit,Original Circuit QASM,Qubit Count,Original Gate Count,Original Depth,H_0,S_0,CX_0,Optimized Circuit,Optimized Circuit QASM,Optimized Gate Count,Optimized Depth,H_Opt,S_Opt,CX_Opt,Time
23,"     ┌───┐┌───┐┌───┐┌───┐┌───┐
q_0: ┤ X ├┤ S ├┤ S ├┤ S ├┤ X ├
     └─┬─┘├───┤└───┘└───┘└─┬─┘
q_1: ──■──┤ S ├────────────■──
          └───┘               ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
s q[1];
s q[0];
s q[0];
s q[0];
cx q[1],q[0];",2,6,5,0,4,2,"     ┌───┐┌───┐┌───┐┌───┐┌───┐┌───┐
q_0: ┤ H ├┤ S ├┤ H ├┤ S ├┤ X ├┤ H ├
     └───┘└───┘└───┘└───┘└─┬─┘└───┘
q_1: ──────────────────────■───────
                                   ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[0];
h q[0];
s q[0];
cx q[1],q[0];
h q[0];",6,6,3,4,1,0.17985892295837402
24,"     ┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ H ├┤ H ├
     ├───┤├───┤├───┤
q_1: ┤ H ├┤ S ├┤ H ├
     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
s q[0];
s q[1];
h q[1];
h q[0];
h q[0];",2,6,3,4,2,0,"     ┌───┐          
q_0: ┤ S ├──────────
     ├───┤┌───┐┌───┐
q_1: ┤ H ├┤ S ├┤ H ├
     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
s q[0];
s q[1];
h q[1];",4,3,2,2,0,0.04704427719116211
25,"     ┌───┐     ┌───┐┌───┐
q_0: ┤ S ├──■──┤ S ├┤ S ├
     ├───┤┌─┴─┐├───┤└───┘
q_1: ┤ S ├┤ X ├┤ H ├─────
     └───┘└───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[1];
cx q[0],q[1];
s q[0];
h q[1];
s q[0];",2,6,4,1,4,1,"                         
q_0: ──■──────────────■──
     ┌─┴─┐┌───┐┌───┐┌─┴─┐
q_1: ┤ X ├┤ S ├┤ H ├┤ X ├
     └───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
s q[1];
h q[1];
cx q[0],q[1];",4,4,1,4,2,0.18064570426940918
26,"     ┌───┐┌───┐┌───┐┌───┐
q_0: ┤ H ├┤ X ├┤ H ├┤ S ├
     ├───┤└─┬─┘├───┤└───┘
q_1: ┤ H ├──■──┤ H ├─────
     └───┘     └───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
h q[0];
cx q[1],q[0];
h q[0];
h q[1];
s q[0];",2,6,4,4,1,1,"     ┌───┐     
q_0: ┤ S ├──■──
     └───┘┌─┴─┐
q_1: ─────┤ X ├
          └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
cx q[0],q[1];",2,2,0,1,1,0.17108392715454102
27,"               ┌───┐┌───┐
q_0: ──■────■──┤ S ├┤ H ├
     ┌─┴─┐┌─┴─┐├───┤├───┤
q_1: ┤ X ├┤ X ├┤ S ├┤ H ├
     └───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
cx q[0],q[1];
s q[1];
s q[0];
h q[1];
h q[0];",2,6,4,2,2,2,"     ┌───┐┌───┐
q_0: ┤ S ├┤ H ├
     ├───┤├───┤
q_1: ┤ S ├┤ H ├
     └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
h q[0];
s q[1];
h q[1];",4,2,2,2,0,0.047799110412597656
28,"     ┌───┐┌───┐┌───┐
q_0: ┤ H ├┤ S ├┤ H ├
     ├───┤├───┤├───┤
q_1: ┤ S ├┤ S ├┤ H ├
     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
s q[1];
h q[0];
h q[1];
s q[0];
h q[0];",2,6,3,3,3,0,"     ┌───┐┌───┐┌───┐
q_0: ┤ H ├┤ S ├┤ H ├
     ├───┤├───┤├───┤
q_1: ┤ S ├┤ S ├┤ H ├
     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[0];
h q[0];
s q[1];
s q[1];
h q[1];",6,3,3,3,0,0.1710522174835205
29,"     ┌───┐     ┌───┐┌───┐┌───┐
q_0: ┤ S ├──■──┤ X ├┤ S ├┤ H ├
     ├───┤┌─┴─┐└─┬─┘└───┘└───┘
q_1: ┤ H ├┤ X ├──■────────────
     └───┘└───┘               ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
s q[0];
cx q[0],q[1];
cx q[1],q[0];
s q[0];
h q[0];",2,6,5,2,2,2,"     ┌───┐          ┌───┐┌───┐
q_0: ┤ S ├───────■──┤ X ├┤ H ├
     ├───┤┌───┐┌─┴─┐└─┬─┘└───┘
q_1: ┤ H ├┤ S ├┤ X ├──■───────
     └───┘└───┘└───┘          ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
s q[0];
s q[1];
cx q[0],q[1];
cx q[1],q[0];
h q[0];",6,5,2,2,2,0.1772453784942627
30,"     ┌───┐┌───┐     ┌───┐     
q_0: ┤ H ├┤ X ├─────┤ X ├──■──
     ├───┤└─┬─┘┌───┐└─┬─┘┌─┴─┐
q_1: ┤ H ├──■──┤ H ├──■──┤ X ├
     └───┘     └───┘     └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
h q[1];
cx q[1],q[0];
h q[1];
cx q[1],q[0];
cx q[0],q[1];",2,6,5,3,0,3,"          ┌───┐┌───┐     
q_0: ──■──┤ H ├┤ X ├──■──
     ┌─┴─┐└───┘└─┬─┘┌─┴─┐
q_1: ┤ X ├───────■──┤ X ├
     └───┘          └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
h q[0];
cx q[1],q[0];
cx q[0],q[1];",4,4,1,0,3,0.04595041275024414
31,"          ┌───┐┌───┐┌───┐
q_0: ──■──┤ H ├┤ S ├┤ S ├
     ┌─┴─┐├───┤├───┤└───┘
q_1: ┤ X ├┤ H ├┤ H ├─────
     └───┘└───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
h q[1];
h q[0];
h q[1];
s q[0];
s q[0];",2,6,4,3,2,1,"          ┌───┐┌───┐┌───┐
q_0: ──■──┤ H ├┤ S ├┤ S ├
     ┌─┴─┐└───┘└───┘└───┘
q_1: ┤ X ├───────────────
     └───┘               ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
h q[0];
s q[0];
s q[0];",4,4,1,2,1,0.16992688179016113
32,"     ┌───┐          ┌───┐
q_0: ┤ H ├───────■──┤ S ├
     ├───┤┌───┐┌─┴─┐├───┤
q_1: ┤ S ├┤ S ├┤ X ├┤ H ├
     └───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
s q[1];
h q[0];
cx q[0],q[1];
s q[0];
h q[1];",2,6,4,2,3,1,"     ┌───┐┌───┐          
q_0: ┤ H ├┤ S ├──■───────
     ├───┤├───┤┌─┴─┐┌───┐
q_1: ┤ S ├┤ S ├┤ X ├┤ H ├
     └───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[0];
s q[1];
s q[1];
cx q[0],q[1];
h q[1];",6,4,2,3,1,0.1765429973602295
