,Unnamed: 0,Original Circuit,Original Circuit QASM,Qubit Count,Original Gate Count,Original Depth,H_0,S_0,CX_0,Optimized Circuit,Optimized Circuit QASM,Optimized Gate Count,Optimized Depth,H_Opt,S_Opt,CX_Opt,Time,% Gate Count Reduction,% Depth Reduction,% H Reduction,% S Reduction,% CX Reduction,Optimized Circuit (Redone),Time (Clifford Object),Time (Optimization Process),Time (Reconstruction)
10,10,"     ┌───┐     ┌───┐┌───┐
q_0: ┤ H ├─────┤ X ├┤ H ├
     ├───┤┌───┐└─┬─┘└───┘
q_1: ┤ S ├┤ S ├──■───────
     └───┘└───┘          ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
s q[1];
h q[0];
cx q[1],q[0];
h q[0];",2,5,4,2,2,1,"     ┌───┐     ┌───┐┌───┐
q_0: ┤ H ├─────┤ X ├┤ H ├
     ├───┤┌───┐└─┬─┘└───┘
q_1: ┤ S ├┤ S ├──■───────
     └───┘└───┘          ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[1];
s q[1];
cx q[1],q[0];
h q[0];",5,4,2,2,1,0.0020852088928222656,0.0,0.0,0.0,0.0,0.0,"     ┌───┐     ┌───┐┌───┐
q_0: ┤ H ├─────┤ X ├┤ H ├
     ├───┤┌───┐└─┬─┘└───┘
q_1: ┤ S ├┤ S ├──■───────
     └───┘└───┘          ",5.1975250244140625e-05,0.0019850730895996094,4.8160552978515625e-05
11,11,"     ┌───┐                    
q_0: ┤ X ├────────────────────
     └─┬─┘┌───┐┌───┐┌───┐┌───┐
q_1: ──■──┤ H ├┤ H ├┤ S ├┤ H ├
          └───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
h q[1];
h q[1];
s q[1];
h q[1];",2,5,5,3,1,1,"          ┌───┐     
q_0: ─────┤ X ├─────
     ┌───┐└─┬─┘┌───┐
q_1: ┤ S ├──■──┤ H ├
     └───┘     └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
cx q[1],q[0];
h q[1];",3,3,1,1,1,0.0015339851379394531,40.0,40.0,66.66666666666667,0.0,0.0,"          ┌───┐     
q_0: ─────┤ X ├─────
     ┌───┐└─┬─┘┌───┐
q_1: ┤ S ├──■──┤ H ├
     └───┘     └───┘",5.1021575927734375e-05,0.0014429092407226562,4.00543212890625e-05
12,12,"                    ┌───┐
q_0: ────────────■──┤ S ├
     ┌───┐┌───┐┌─┴─┐├───┤
q_1: ┤ S ├┤ S ├┤ X ├┤ S ├
     └───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
s q[1];
cx q[0],q[1];
s q[1];
s q[0];",2,5,4,0,4,1,"     ┌───┐               
q_0: ┤ S ├───────■───────
     ├───┤┌───┐┌─┴─┐┌───┐
q_1: ┤ S ├┤ S ├┤ X ├┤ S ├
     └───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[1];
s q[1];
cx q[0],q[1];
s q[1];",5,4,0,4,1,0.0023522377014160156,0.0,0.0,0.0,0.0,0.0,"     ┌───┐               
q_0: ┤ S ├───────■───────
     ├───┤┌───┐┌─┴─┐┌───┐
q_1: ┤ S ├┤ S ├┤ X ├┤ S ├
     └───┘└───┘└───┘└───┘",4.7206878662109375e-05,0.0022521018981933594,5.2928924560546875e-05
13,13,"     ┌───┐┌───┐     
q_0: ┤ S ├┤ H ├─────
     ├───┤├───┤┌───┐
q_1: ┤ S ├┤ S ├┤ H ├
     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[1];
s q[1];
h q[0];
h q[1];",2,5,3,2,3,0,"     ┌───┐┌───┐     
q_0: ┤ S ├┤ H ├─────
     ├───┤├───┤┌───┐
q_1: ┤ S ├┤ S ├┤ H ├
     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
h q[0];
s q[1];
s q[1];
h q[1];",5,3,2,3,0,0.002213716506958008,0.0,0.0,0.0,0.0,0.0,"     ┌───┐┌───┐     
q_0: ┤ S ├┤ H ├─────
     ├───┤├───┤┌───┐
q_1: ┤ S ├┤ S ├┤ H ├
     └───┘└───┘└───┘",4.1961669921875e-05,0.0021309852600097656,4.076957702636719e-05
14,14,"     ┌───┐┌───┐┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ X ├┤ H ├┤ H ├┤ H ├
     └───┘└─┬─┘└───┘└───┘└───┘
q_1: ───────■─────────────────
                              ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
cx q[1],q[0];
h q[0];
h q[0];
h q[0];",2,5,5,3,1,1,"     ┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ X ├┤ H ├
     └───┘└─┬─┘└───┘
q_1: ───────■───────
                    ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
cx q[1],q[0];
h q[0];",3,3,1,1,1,0.0015599727630615234,40.0,40.0,66.66666666666667,0.0,0.0,"     ┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ X ├┤ H ├
     └───┘└─┬─┘└───┘
q_1: ───────■───────
                    ",4.696846008300781e-05,0.0014758110046386719,3.719329833984375e-05
15,15,"          ┌───┐     ┌───┐┌───┐
q_0: ─────┤ X ├─────┤ X ├┤ S ├
     ┌───┐└─┬─┘┌───┐└─┬─┘└───┘
q_1: ┤ S ├──■──┤ S ├──■───────
     └───┘     └───┘          ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
cx q[1],q[0];
s q[1];
cx q[1],q[0];
s q[0];",2,5,5,0,3,2,"     ┌───┐     
q_0: ┤ S ├─────
     ├───┤┌───┐
q_1: ┤ S ├┤ S ├
     └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[1];
s q[1];",3,2,0,3,0,0.0016009807586669922,40.0,60.0,0.0,0.0,100.0,"     ┌───┐     
q_0: ┤ S ├─────
     ├───┤┌───┐
q_1: ┤ S ├┤ S ├
     └───┘└───┘",4.8160552978515625e-05,0.0015130043029785156,3.981590270996094e-05
16,16,"     ┌───┐┌───┐┌───┐┌───┐     
q_0: ┤ X ├┤ H ├┤ X ├┤ X ├─────
     └─┬─┘└───┘└─┬─┘└─┬─┘┌───┐
q_1: ──■─────────■────■──┤ S ├
                         └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
h q[0];
cx q[1],q[0];
cx q[1],q[0];
s q[1];",2,5,5,1,1,3,"          ┌───┐┌───┐
q_0: ─────┤ X ├┤ H ├
     ┌───┐└─┬─┘└───┘
q_1: ┤ S ├──■───────
     └───┘          ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
cx q[1],q[0];
h q[0];",3,3,1,1,1,0.0016219615936279297,40.0,40.0,0.0,0.0,66.66666666666667,"          ┌───┐┌───┐
q_0: ─────┤ X ├┤ H ├
     ┌───┐└─┬─┘└───┘
q_1: ┤ S ├──■───────
     └───┘          ",6.699562072753906e-05,0.0015070438385009766,4.792213439941406e-05
17,17,"               ┌───┐     
q_0: ──■────■──┤ S ├─────
     ┌─┴─┐┌─┴─┐├───┤┌───┐
q_1: ┤ X ├┤ X ├┤ S ├┤ S ├
     └───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
cx q[0],q[1];
s q[1];
s q[0];
s q[1];",2,5,4,0,3,2,"     ┌───┐     
q_0: ┤ S ├─────
     ├───┤┌───┐
q_1: ┤ S ├┤ S ├
     └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[1];
s q[1];",3,2,0,3,0,0.001573801040649414,40.0,50.0,0.0,0.0,100.0,"     ┌───┐     
q_0: ┤ S ├─────
     ├───┤┌───┐
q_1: ┤ S ├┤ S ├
     └───┘└───┘",5.078315734863281e-05,0.0014841556549072266,3.886222839355469e-05
18,18,"     ┌───┐┌───┐┌───┐     ┌───┐
q_0: ┤ X ├┤ H ├┤ H ├──■──┤ S ├
     └─┬─┘└───┘└───┘┌─┴─┐└───┘
q_1: ──■────────────┤ X ├─────
                    └───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
h q[0];
h q[0];
cx q[0],q[1];
s q[0];",2,5,5,2,1,2,"     ┌───┐┌───┐     
q_0: ┤ X ├┤ S ├──■──
     └─┬─┘└───┘┌─┴─┐
q_1: ──■───────┤ X ├
               └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
s q[0];
cx q[0],q[1];",3,3,0,1,2,0.0016202926635742188,40.0,40.0,100.0,0.0,0.0,"     ┌───┐┌───┐     
q_0: ┤ X ├┤ S ├──■──
     └─┬─┘└───┘┌─┴─┐
q_1: ──■───────┤ X ├
               └───┘",5.507469177246094e-05,0.001512289047241211,5.2928924560546875e-05
19,19,"                         ┌───┐
q_0: ─────────────────■──┤ H ├
     ┌───┐┌───┐┌───┐┌─┴─┐└───┘
q_1: ┤ H ├┤ H ├┤ H ├┤ X ├─────
     └───┘└───┘└───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
h q[1];
h q[1];
cx q[0],q[1];
h q[0];",2,5,5,4,0,1,"     ┌───┐┌───┐     
q_0: ┤ H ├┤ X ├─────
     └───┘└─┬─┘┌───┐
q_1: ───────■──┤ H ├
               └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
cx q[1],q[0];
h q[1];",3,3,2,0,1,0.0015079975128173828,40.0,40.0,50.0,0.0,0.0,"     ┌───┐┌───┐     
q_0: ┤ H ├┤ X ├─────
     └───┘└─┬─┘┌───┐
q_1: ───────■──┤ H ├
               └───┘",5.1021575927734375e-05,0.001416921615600586,4.00543212890625e-05
20,20,"               ┌───┐               
q_0: ──■───────┤ X ├───────────────
     ┌─┴─┐┌───┐└─┬─┘┌───┐┌───┐┌───┐
q_1: ┤ X ├┤ S ├──■──┤ S ├┤ H ├┤ S ├
     └───┘└───┘     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
s q[1];
cx q[1],q[0];
s q[1];
h q[1];
s q[1];",2,6,6,1,3,2,"                    ┌───┐          
q_0: ──■────────────┤ X ├──────────
     ┌─┴─┐┌───┐┌───┐└─┬─┘┌───┐┌───┐
q_1: ┤ X ├┤ S ├┤ S ├──■──┤ H ├┤ S ├
     └───┘└───┘└───┘     └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
s q[1];
s q[1];
cx q[1],q[0];
h q[1];
s q[1];",6,6,1,3,2,0.0037801265716552734,0.0,0.0,0.0,0.0,0.0,"                    ┌───┐          
q_0: ──■────────────┤ X ├──────────
     ┌─┴─┐┌───┐┌───┐└─┬─┘┌───┐┌───┐
q_1: ┤ X ├┤ S ├┤ S ├──■──┤ H ├┤ S ├
     └───┘└───┘└───┘     └───┘└───┘",5.1021575927734375e-05,0.0036780834197998047,5.1021575927734375e-05
21,21,"     ┌───┐┌───┐┌───┐     ┌───┐
q_0: ┤ X ├┤ H ├┤ S ├──■──┤ S ├
     └─┬─┘├───┤└───┘┌─┴─┐└───┘
q_1: ──■──┤ S ├─────┤ X ├─────
          └───┘     └───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
s q[1];
h q[0];
s q[0];
cx q[0],q[1];
s q[0];",2,6,5,1,3,2,"     ┌───┐┌───┐          
q_0: ┤ H ├┤ S ├──■───────
     └───┘└───┘┌─┴─┐┌───┐
q_1: ──────────┤ X ├┤ S ├
               └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[0];
cx q[0],q[1];
s q[1];",4,4,1,2,1,0.0016949176788330078,33.333333333333336,20.0,0.0,33.333333333333336,50.0,"     ┌───┐┌───┐          
q_0: ┤ H ├┤ S ├──■───────
     └───┘└───┘┌─┴─┐┌───┐
q_1: ──────────┤ X ├┤ S ├
               └───┘└───┘",5.698204040527344e-05,0.0015881061553955078,4.982948303222656e-05
22,22,"     ┌───┐     ┌───┐          
q_0: ┤ S ├─────┤ X ├───────■──
     ├───┤┌───┐└─┬─┘┌───┐┌─┴─┐
q_1: ┤ H ├┤ S ├──■──┤ S ├┤ X ├
     └───┘└───┘     └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
h q[1];
s q[1];
cx q[1],q[0];
s q[1];
cx q[0],q[1];",2,6,5,1,3,2,"     ┌───┐          ┌───┐     
q_0: ┤ S ├──────────┤ X ├──■──
     ├───┤┌───┐┌───┐└─┬─┘┌─┴─┐
q_1: ┤ H ├┤ S ├┤ S ├──■──┤ X ├
     └───┘└───┘└───┘     └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
s q[0];
s q[1];
s q[1];
cx q[1],q[0];
cx q[0],q[1];",6,5,1,3,2,0.0030841827392578125,0.0,0.0,0.0,0.0,0.0,"     ┌───┐          ┌───┐     
q_0: ┤ S ├──────────┤ X ├──■──
     ├───┤┌───┐┌───┐└─┬─┘┌─┴─┐
q_1: ┤ H ├┤ S ├┤ S ├──■──┤ X ├
     └───┘└───┘└───┘     └───┘",5.602836608886719e-05,0.0029723644256591797,5.5789947509765625e-05
23,23,"                    ┌───┐          
q_0: ────────────■──┤ X ├───────■──
     ┌───┐┌───┐┌─┴─┐└─┬─┘┌───┐┌─┴─┐
q_1: ┤ H ├┤ S ├┤ X ├──■──┤ H ├┤ X ├
     └───┘└───┘└───┘     └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
s q[1];
cx q[0],q[1];
cx q[1],q[0];
h q[1];
cx q[0],q[1];",2,6,6,2,1,3,"     ┌───┐                    ┌───┐
q_0: ┤ H ├──■──────────────■──┤ X ├
     └───┘┌─┴─┐┌───┐┌───┐┌─┴─┐└─┬─┘
q_1: ─────┤ X ├┤ H ├┤ S ├┤ X ├──■──
          └───┘└───┘└───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
cx q[0],q[1];
h q[1];
s q[1];
cx q[0],q[1];
cx q[1],q[0];",6,6,2,1,3,0.002893209457397461,0.0,0.0,0.0,0.0,0.0,"     ┌───┐                    ┌───┐
q_0: ┤ H ├──■──────────────■──┤ X ├
     └───┘┌─┴─┐┌───┐┌───┐┌─┴─┐└─┬─┘
q_1: ─────┤ X ├┤ H ├┤ S ├┤ X ├──■──
          └───┘└───┘└───┘└───┘     ",6.031990051269531e-05,0.0027849674224853516,4.792213439941406e-05
24,24,"     ┌───┐     ┌───┐┌───┐┌───┐     
q_0: ┤ S ├──■──┤ H ├┤ S ├┤ X ├─────
     └───┘┌─┴─┐└───┘└───┘└─┬─┘┌───┐
q_1: ─────┤ X ├────────────■──┤ S ├
          └───┘               └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
cx q[0],q[1];
h q[0];
s q[0];
cx q[1],q[0];
s q[1];",2,6,6,1,3,2,"     ┌───┐     ┌───┐┌───┐┌───┐
q_0: ┤ S ├──■──┤ H ├┤ S ├┤ X ├
     └───┘┌─┴─┐├───┤└───┘└─┬─┘
q_1: ─────┤ X ├┤ S ├───────■──
          └───┘└───┘          ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
cx q[0],q[1];
h q[0];
s q[0];
s q[1];
cx q[1],q[0];",6,5,1,3,2,0.0034759044647216797,0.0,16.666666666666668,0.0,0.0,0.0,"     ┌───┐     ┌───┐┌───┐┌───┐
q_0: ┤ S ├──■──┤ H ├┤ S ├┤ X ├
     └───┘┌─┴─┐├───┤└───┘└─┬─┘
q_1: ─────┤ X ├┤ S ├───────■──
          └───┘└───┘          ",5.2928924560546875e-05,0.0033721923828125,5.078315734863281e-05
