,Original Circuit,Original Circuit QASM,Qubit Count,Original Gate Count,Original Depth,H_0,S_0,CX_0,Optimized Circuit,Optimized Circuit QASM,Optimized Gate Count,Optimized Depth,H_Opt,S_Opt,CX_Opt,Time,% Gate Count Reduction,% Depth Reduction,% H Reduction,% S Reduction,% CX Reduction
10,"     ┌───┐     ┌───┐┌───┐
q_0: ┤ H ├─────┤ X ├┤ H ├
     ├───┤┌───┐└─┬─┘└───┘
q_1: ┤ S ├┤ S ├──■───────
     └───┘└───┘          ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
s q[1];
h q[0];
cx q[1],q[0];
h q[0];",2,5,4,2,2,1,"     ┌───┐     ┌───┐┌───┐
q_0: ┤ H ├─────┤ X ├┤ H ├
     ├───┤┌───┐└─┬─┘└───┘
q_1: ┤ S ├┤ S ├──■───────
     └───┘└───┘          ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[1];
s q[1];
cx q[1],q[0];
h q[0];",5,4,2,2,1,0.03587675094604492,0.0,0.0,0.0,0.0,0.0
11,"     ┌───┐                    
q_0: ┤ X ├────────────────────
     └─┬─┘┌───┐┌───┐┌───┐┌───┐
q_1: ──■──┤ H ├┤ H ├┤ S ├┤ H ├
          └───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
h q[1];
h q[1];
s q[1];
h q[1];",2,5,5,3,1,1,"          ┌───┐     
q_0: ─────┤ X ├─────
     ┌───┐└─┬─┘┌───┐
q_1: ┤ S ├──■──┤ H ├
     └───┘     └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
cx q[1],q[0];
h q[1];",3,3,1,1,1,0.036511898040771484,40.0,40.0,66.66666666666667,0.0,0.0
12,"                    ┌───┐
q_0: ────────────■──┤ S ├
     ┌───┐┌───┐┌─┴─┐├───┤
q_1: ┤ S ├┤ S ├┤ X ├┤ S ├
     └───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
s q[1];
cx q[0],q[1];
s q[1];
s q[0];",2,5,4,0,4,1,"     ┌───┐               
q_0: ┤ S ├───────■───────
     ├───┤┌───┐┌─┴─┐┌───┐
q_1: ┤ S ├┤ S ├┤ X ├┤ S ├
     └───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[1];
s q[1];
cx q[0],q[1];
s q[1];",5,4,0,4,1,0.03926396369934082,0.0,0.0,0.0,0.0,0.0
13,"     ┌───┐┌───┐     
q_0: ┤ S ├┤ H ├─────
     ├───┤├───┤┌───┐
q_1: ┤ S ├┤ S ├┤ H ├
     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[1];
s q[1];
h q[0];
h q[1];",2,5,3,2,3,0,"     ┌───┐┌───┐     
q_0: ┤ S ├┤ H ├─────
     ├───┤├───┤┌───┐
q_1: ┤ S ├┤ S ├┤ H ├
     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
h q[0];
s q[1];
s q[1];
h q[1];",5,3,2,3,0,0.04277515411376953,0.0,0.0,0.0,0.0,0.0
14,"     ┌───┐┌───┐┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ X ├┤ H ├┤ H ├┤ H ├
     └───┘└─┬─┘└───┘└───┘└───┘
q_1: ───────■─────────────────
                              ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
cx q[1],q[0];
h q[0];
h q[0];
h q[0];",2,5,5,3,1,1,"     ┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ X ├┤ H ├
     └───┘└─┬─┘└───┘
q_1: ───────■───────
                    ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
cx q[1],q[0];
h q[0];",3,3,1,1,1,0.03952217102050781,40.0,40.0,66.66666666666667,0.0,0.0
15,"          ┌───┐     ┌───┐┌───┐
q_0: ─────┤ X ├─────┤ X ├┤ S ├
     ┌───┐└─┬─┘┌───┐└─┬─┘└───┘
q_1: ┤ S ├──■──┤ S ├──■───────
     └───┘     └───┘          ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
cx q[1],q[0];
s q[1];
cx q[1],q[0];
s q[0];",2,5,5,0,3,2,"     ┌───┐     
q_0: ┤ S ├─────
     ├───┤┌───┐
q_1: ┤ S ├┤ S ├
     └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[1];
s q[1];",3,2,0,3,0,0.03868389129638672,40.0,60.0,0.0,0.0,100.0
16,"     ┌───┐┌───┐┌───┐┌───┐     
q_0: ┤ X ├┤ H ├┤ X ├┤ X ├─────
     └─┬─┘└───┘└─┬─┘└─┬─┘┌───┐
q_1: ──■─────────■────■──┤ S ├
                         └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
h q[0];
cx q[1],q[0];
cx q[1],q[0];
s q[1];",2,5,5,1,1,3,"          ┌───┐┌───┐
q_0: ─────┤ X ├┤ H ├
     ┌───┐└─┬─┘└───┘
q_1: ┤ S ├──■───────
     └───┘          ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
cx q[1],q[0];
h q[0];",3,3,1,1,1,0.04156208038330078,40.0,40.0,0.0,0.0,66.66666666666667
17,"               ┌───┐     
q_0: ──■────■──┤ S ├─────
     ┌─┴─┐┌─┴─┐├───┤┌───┐
q_1: ┤ X ├┤ X ├┤ S ├┤ S ├
     └───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
cx q[0],q[1];
s q[1];
s q[0];
s q[1];",2,5,4,0,3,2,"     ┌───┐     
q_0: ┤ S ├─────
     ├───┤┌───┐
q_1: ┤ S ├┤ S ├
     └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[1];
s q[1];",3,2,0,3,0,0.044648170471191406,40.0,50.0,0.0,0.0,100.0
18,"     ┌───┐┌───┐┌───┐     ┌───┐
q_0: ┤ X ├┤ H ├┤ H ├──■──┤ S ├
     └─┬─┘└───┘└───┘┌─┴─┐└───┘
q_1: ──■────────────┤ X ├─────
                    └───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
h q[0];
h q[0];
cx q[0],q[1];
s q[0];",2,5,5,2,1,2,"     ┌───┐┌───┐     
q_0: ┤ X ├┤ S ├──■──
     └─┬─┘└───┘┌─┴─┐
q_1: ──■───────┤ X ├
               └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
s q[0];
cx q[0],q[1];",3,3,0,1,2,0.040857791900634766,40.0,40.0,100.0,0.0,0.0
19,"                         ┌───┐
q_0: ─────────────────■──┤ H ├
     ┌───┐┌───┐┌───┐┌─┴─┐└───┘
q_1: ┤ H ├┤ H ├┤ H ├┤ X ├─────
     └───┘└───┘└───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
h q[1];
h q[1];
cx q[0],q[1];
h q[0];",2,5,5,4,0,1,"     ┌───┐┌───┐     
q_0: ┤ H ├┤ X ├─────
     └───┘└─┬─┘┌───┐
q_1: ───────■──┤ H ├
               └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
cx q[1],q[0];
h q[1];",3,3,2,0,1,0.040849924087524414,40.0,40.0,50.0,0.0,0.0
20,"               ┌───┐               
q_0: ──■───────┤ X ├───────────────
     ┌─┴─┐┌───┐└─┬─┘┌───┐┌───┐┌───┐
q_1: ┤ X ├┤ S ├──■──┤ S ├┤ H ├┤ S ├
     └───┘└───┘     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
s q[1];
cx q[1],q[0];
s q[1];
h q[1];
s q[1];",2,6,6,1,3,2,"                    ┌───┐          
q_0: ──■────────────┤ X ├──────────
     ┌─┴─┐┌───┐┌───┐└─┬─┘┌───┐┌───┐
q_1: ┤ X ├┤ S ├┤ S ├──■──┤ H ├┤ S ├
     └───┘└───┘└───┘     └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
s q[1];
s q[1];
cx q[1],q[0];
h q[1];
s q[1];",6,6,1,3,2,0.04535484313964844,0.0,0.0,0.0,0.0,0.0
21,"     ┌───┐┌───┐┌───┐     ┌───┐
q_0: ┤ X ├┤ H ├┤ S ├──■──┤ S ├
     └─┬─┘├───┤└───┘┌─┴─┐└───┘
q_1: ──■──┤ S ├─────┤ X ├─────
          └───┘     └───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
s q[1];
h q[0];
s q[0];
cx q[0],q[1];
s q[0];",2,6,5,1,3,2,"     ┌───┐┌───┐          
q_0: ┤ H ├┤ S ├──■───────
     └───┘└───┘┌─┴─┐┌───┐
q_1: ──────────┤ X ├┤ S ├
               └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[0];
cx q[0],q[1];
s q[1];",4,4,1,2,1,0.038703203201293945,33.333333333333336,20.0,0.0,33.333333333333336,50.0
22,"     ┌───┐     ┌───┐          
q_0: ┤ S ├─────┤ X ├───────■──
     ├───┤┌───┐└─┬─┘┌───┐┌─┴─┐
q_1: ┤ H ├┤ S ├──■──┤ S ├┤ X ├
     └───┘└───┘     └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
h q[1];
s q[1];
cx q[1],q[0];
s q[1];
cx q[0],q[1];",2,6,5,1,3,2,"     ┌───┐          ┌───┐     
q_0: ┤ S ├──────────┤ X ├──■──
     ├───┤┌───┐┌───┐└─┬─┘┌─┴─┐
q_1: ┤ H ├┤ S ├┤ S ├──■──┤ X ├
     └───┘└───┘└───┘     └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
s q[0];
s q[1];
s q[1];
cx q[1],q[0];
cx q[0],q[1];",6,5,1,3,2,0.05350303649902344,0.0,0.0,0.0,0.0,0.0
23,"                    ┌───┐          
q_0: ────────────■──┤ X ├───────■──
     ┌───┐┌───┐┌─┴─┐└─┬─┘┌───┐┌─┴─┐
q_1: ┤ H ├┤ S ├┤ X ├──■──┤ H ├┤ X ├
     └───┘└───┘└───┘     └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
s q[1];
cx q[0],q[1];
cx q[1],q[0];
h q[1];
cx q[0],q[1];",2,6,6,2,1,3,"     ┌───┐                    ┌───┐
q_0: ┤ H ├──■──────────────■──┤ X ├
     └───┘┌─┴─┐┌───┐┌───┐┌─┴─┐└─┬─┘
q_1: ─────┤ X ├┤ H ├┤ S ├┤ X ├──■──
          └───┘└───┘└───┘└───┘     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
cx q[0],q[1];
h q[1];
s q[1];
cx q[0],q[1];
cx q[1],q[0];",6,6,2,1,3,0.04105806350708008,0.0,0.0,0.0,0.0,0.0
24,"     ┌───┐     ┌───┐┌───┐┌───┐     
q_0: ┤ S ├──■──┤ H ├┤ S ├┤ X ├─────
     └───┘┌─┴─┐└───┘└───┘└─┬─┘┌───┐
q_1: ─────┤ X ├────────────■──┤ S ├
          └───┘               └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
cx q[0],q[1];
h q[0];
s q[0];
cx q[1],q[0];
s q[1];",2,6,6,1,3,2,"     ┌───┐     ┌───┐┌───┐┌───┐
q_0: ┤ S ├──■──┤ H ├┤ S ├┤ X ├
     └───┘┌─┴─┐├───┤└───┘└─┬─┘
q_1: ─────┤ X ├┤ S ├───────■──
          └───┘└───┘          ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
cx q[0],q[1];
h q[0];
s q[0];
s q[1];
cx q[1],q[0];",6,5,1,3,2,0.046968936920166016,0.0,16.666666666666668,0.0,0.0,0.0
25,"     ┌───┐┌───┐     ┌───┐┌───┐     
q_0: ┤ H ├┤ S ├──■──┤ H ├┤ X ├─────
     └───┘└───┘┌─┴─┐└───┘└─┬─┘┌───┐
q_1: ──────────┤ X ├───────■──┤ H ├
               └───┘          └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[0];
cx q[0],q[1];
h q[0];
cx q[1],q[0];
h q[1];",2,6,6,3,1,2,"     ┌───┐┌───┐     ┌───┐┌───┐     
q_0: ┤ H ├┤ S ├──■──┤ H ├┤ X ├─────
     └───┘└───┘┌─┴─┐└───┘└─┬─┘┌───┐
q_1: ──────────┤ X ├───────■──┤ H ├
               └───┘          └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[0];
cx q[0],q[1];
h q[0];
cx q[1],q[0];
h q[1];",6,6,3,1,2,0.039368391036987305,0.0,0.0,0.0,0.0,0.0
26,"     ┌───┐┌───┐     ┌───┐
q_0: ┤ X ├┤ S ├──■──┤ H ├
     └─┬─┘├───┤┌─┴─┐├───┤
q_1: ──■──┤ H ├┤ X ├┤ H ├
          └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
s q[0];
h q[1];
cx q[0],q[1];
h q[0];
h q[1];",2,6,4,3,1,2,"     ┌───┐┌───┐┌───┐┌───┐
q_0: ┤ X ├┤ S ├┤ H ├┤ X ├
     └─┬─┘└───┘└───┘└─┬─┘
q_1: ──■──────────────■──
                         ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
s q[0];
h q[0];
cx q[1],q[0];",4,4,1,1,2,0.038049936294555664,33.333333333333336,0.0,66.66666666666667,0.0,0.0
27,"     ┌───┐                    
q_0: ┤ S ├─────────────────■──
     ├───┤┌───┐┌───┐┌───┐┌─┴─┐
q_1: ┤ H ├┤ S ├┤ H ├┤ H ├┤ X ├
     └───┘└───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
s q[1];
h q[1];
s q[0];
h q[1];
cx q[0],q[1];",2,6,5,3,2,1,"     ┌───┐          
q_0: ┤ S ├───────■──
     ├───┤┌───┐┌─┴─┐
q_1: ┤ H ├┤ S ├┤ X ├
     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
s q[0];
s q[1];
cx q[0],q[1];",4,3,1,2,1,0.04253888130187988,33.333333333333336,40.0,66.66666666666667,0.0,0.0
28,"     ┌───┐┌───┐     ┌───┐
q_0: ┤ S ├┤ X ├──■──┤ S ├
     ├───┤└─┬─┘┌─┴─┐├───┤
q_1: ┤ S ├──■──┤ X ├┤ S ├
     └───┘     └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[1];
s q[0];
cx q[1],q[0];
cx q[0],q[1];
s q[0];
s q[1];",2,6,4,0,4,2,"     ┌───┐┌───┐┌───┐┌───┐     
q_0: ┤ S ├┤ S ├┤ X ├┤ S ├──■──
     ├───┤└───┘└─┬─┘└───┘┌─┴─┐
q_1: ┤ S ├───────■───────┤ X ├
     └───┘               └───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[0];
s q[1];
cx q[1],q[0];
s q[0];
cx q[0],q[1];",6,5,0,4,2,0.04558587074279785,0.0,-25.0,0.0,0.0,0.0
29,"     ┌───┐┌───┐┌───┐┌───┐┌───┐┌───┐
q_0: ┤ H ├┤ X ├┤ H ├┤ H ├┤ X ├┤ H ├
     └───┘└─┬─┘└───┘└───┘└─┬─┘└───┘
q_1: ───────■──────────────■───────
                                   ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
cx q[1],q[0];
h q[0];
h q[0];
cx q[1],q[0];
h q[0];",2,6,6,4,0,2,"     
q_0: 
     
q_1: 
     ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];",0,0,0,0,0,0.03810620307922363,100.0,100.0,100.0,0.0,100.0
30,"     ┌───┐┌───┐┌───┐┌───┐┌───┐┌───┐
q_0: ┤ X ├┤ S ├┤ H ├┤ H ├┤ X ├┤ H ├
     └─┬─┘└───┘└───┘└───┘└─┬─┘└───┘
q_1: ──■───────────────────■───────
                                   ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[1],q[0];
s q[0];
h q[0];
h q[0];
cx q[1],q[0];
h q[0];",2,6,6,3,1,2,"     ┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ H ├┤ X ├
     ├───┤└───┘└─┬─┘
q_1: ┤ S ├───────■──
     └───┘          ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
h q[0];
s q[1];
cx q[1],q[0];",4,3,1,2,1,0.03830099105834961,33.333333333333336,50.0,66.66666666666667,-100.0,50.0
31,"               ┌───┐          
q_0: ──■────■──┤ H ├──────────
     ┌─┴─┐┌─┴─┐├───┤┌───┐┌───┐
q_1: ┤ X ├┤ X ├┤ S ├┤ H ├┤ S ├
     └───┘└───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
cx q[0],q[1];
h q[0];
s q[1];
h q[1];
s q[1];",2,6,5,2,2,2,"     ┌───┐          
q_0: ┤ H ├──────────
     ├───┤┌───┐┌───┐
q_1: ┤ S ├┤ H ├┤ S ├
     └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[0];
s q[1];
h q[1];
s q[1];",4,3,2,2,0,0.03873300552368164,33.333333333333336,40.0,0.0,0.0,100.0
32,"          ┌───┐┌───┐     
q_0: ──■──┤ S ├┤ H ├─────
     ┌─┴─┐├───┤├───┤┌───┐
q_1: ┤ X ├┤ S ├┤ H ├┤ H ├
     └───┘└───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
cx q[0],q[1];
s q[0];
s q[1];
h q[1];
h q[0];
h q[1];",2,6,4,3,2,1,"     ┌───┐     ┌───┐
q_0: ┤ S ├──■──┤ H ├
     └───┘┌─┴─┐├───┤
q_1: ─────┤ X ├┤ S ├
          └───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
cx q[0],q[1];
h q[0];
s q[1];",4,3,1,2,1,0.04004502296447754,33.333333333333336,25.0,66.66666666666667,0.0,0.0
33,"     ┌───┐┌───┐     ┌───┐     
q_0: ┤ S ├┤ S ├──■──┤ H ├─────
     └───┘└───┘┌─┴─┐├───┤┌───┐
q_1: ──────────┤ X ├┤ H ├┤ S ├
               └───┘└───┘└───┘","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
s q[0];
s q[0];
cx q[0],q[1];
h q[0];
h q[1];
s q[1];",2,6,5,2,3,1,"     ┌───┐┌───┐┌───┐┌───┐
q_0: ┤ S ├┤ S ├┤ H ├┤ X ├
     ├───┤├───┤└───┘└─┬─┘
q_1: ┤ H ├┤ S ├───────■──
     └───┘└───┘          ","OPENQASM 2.0;
include ""qelib1.inc"";
qreg q[2];
h q[1];
s q[0];
s q[0];
h q[0];
s q[1];
cx q[1],q[0];",6,4,2,3,1,0.07808709144592285,0.0,20.0,0.0,0.0,0.0
